Title,Music_Composer,Genre
Thalla? Pellama?,Ilaiyaraaja,"Romance
"
Vidhi Vilasam,Ilaiyaraaja,"Romance
"
Vijayam Manade,Ilaiyaraaja,"Romance
"
Adrusta Jathakudu,Ilaiyaraaja,"Romance
"
Amaayakuraalu,Ilaiyaraaja,"Romance
"
Anuradha,Ilaiyaraaja,"Romance
"
Bangaru Kutumbam,Ilaiyaraaja,"Romance
"
Bangaru Talli,Ilaiyaraaja,"Romance
"
Bhagyavantudu,Ilaiyaraaja,"Romance
"
Bhale Papa,Ilaiyaraaja,"Romance
"
Bomma Borusa,Ilaiyaraaja,Mythology
Chelleli Kapuram,Ilaiyaraaja,"Romance
"
Chinnanati Snehitulu,Ilaiyaraaja,"Romance
"
Dasara Bullodu,Ilaiyaraaja,"Romance
"
Iddaru Ammayilu,Ilaiyaraaja,"Romance
"
